rating,review_text,sentiment,predicted_sentiment
1,i do not enjoy using this whatsapp because when i send people messages they do not go through,0,1
5,it the best messaging app to ever exist,1,1
5,rete this app,1,1
5,l recommend this app coz llike ut,1,1
5,whatsapp100100,1,1
1,open whatsapp,0,1
1,there is so many song are not added,0,0
5,the app is a very nice app maybe you guy should add something like filter to the video and camera settings,1,1
5,i love chat,1,1
5,very informative,1,1
5,i enjoy the app,1,1
4,being in a ldr marriage can be tough at times communication is a big part of the reason my marriage works whatsapp has been my husbands and i main form of communication since we were in the courtingdating stage of our relationship its reliable for the most part and we have had minimal issues definitely would recommend for those who wish to keep in touch with love ones who are overseas,1,1
5,the used of whatsapp brings a lot of many questions about the same thing as a good time for me and my friend ,1,1
5,this app is soo cool,1,1
4,pls i want chat with my watsapp but he s not working,1,1
2,slow updating,0,0
5,i have really helped a lot of people there who had the same interest as meq,1,1
5,very good app,1,1
1,the backup restore is random,0,0
1,my whatsapp massager is stopping,0,0
1,the problem is that the word bio has a limited duration and then disappears this is a very bad problem please fix it,0,0
5,very useful,1,1
1,chatlock option is worthless it doesnt give any backup and only option ia unlock and clear chat i hate this option,0,0
1,i what my messages back on whatsapp please because i dont know how retrieve my messages how do i report threatend message on whatsapp and i cant see about,0,0
1,my whatsapp nomber dont want work my whatsapp number is not working,0,0
5,very easy,1,1
1,i love whatsapp because its very good to us we can use it to chat get information and to communicate,0,1
5,best app i really like using it,1,1
5,i enjoy using whatsapp messager but i have small issues why my whatsapp always lock please check my whatsapp,1,1
5,great good luck,1,1
5,its nice,1,1
5,very interesting,1,1
4,my experience is very good,1,1
1,my whatsapp do not opening,0,0
5,very nice app and easy to use,1,1
5,it is good,1,1
5,this app is nice,1,1
2,you experience lots of hitched with your app  instead of increasing featured try working on the lapses  im tired abeg,0,1
2,awesome thanks,0,1
4,gbox is a very good app but only one problem they do not support whatsapp,1,1
1,edit personalized read receipts only then blue ticks on for a few chats and not for everyone that will be such a handy feature to have 1 starring tk change from 5 so it comes up as a new comment  is it possible to add an authentication password so that i can log out without unlinking it  next time i use it i just have to type in my password without looking for my cell  pick where i left,0,0
5,convenient fast and easy in business and also personal usage,1,1
1,i have a problem with login to another new phone,0,0
5,my whatsapp is not updating,1,1
1,unable to lock chats again and again showing set up device passcode even after setting up a password it is still the same worst really worst,0,0
5,the best communications app,1,1
4,there should be a send schedule,1,1
1,help my whattsapp number is banned i am facing a problm whattsapp this account is not allowed to use whattsapp due to spam please fix this problm and return to review my whattsapp number i have not did anything against whatsapp policy and rules i am sure that my number has been banned by mistake please review my request my whattsapp number thanks and regards,0,0
1,why i cant pin the massage l please fix it,0,0
5,please open,1,1
5,easy to reach,1,1
5,its fantastic its the app i use the most,1,1
5,good for use,1,1
5,thanks for your help,1,1
1,i absolutely hate how whatsapp is forcing me to update the app when its completely fine as it isit wont let me access the appi cant receive messages nor send them because i have to get gain space inorder to download update for te new whatsapp,0,0
1,why the about status has only 50 characters now and why on earth does it have a timer now i dont understand why developers want whatsapp to be like other social media platforms,0,0
5,good experiences with whatsapp,1,1
1,there is an issue of the keyboard in only whatsapp,0,0
4,i think you should remove the channel option from whatsapp its not important make whatsapp simple messenger application,1,1
5,best application,1,1
5,best app for remaining in touch with friends and loved ones broadcast msg limit is very less it can be 500 pm,1,1
2,i have 2 whatsapp number running in 1 app the other number never get any notification i must switch accounts regularly why create a feature for running 2 numbers at the same time but you must switch regularly what concept is that,0,0
1,it suddenly stopped working i open the app and it closes immediately,0,0
1,very bad app my watsapp account banned since 10 days poor app bad poor,0,0
5,whatsapp is a good app in my opinion,1,1
5,this app are usefull,1,1
4,thank you,1,1
4,can u add themes option for home screen of whatsapp it would be very helpful and make the app look more interesting,1,1
5,this application is good to connect with each other,1,1
5,nice thanks my watsapp,1,1
5,the best app good and correct in the whatsapp group,1,1
2,arratai is best,0,1
5,i love the whatsapp,1,1
4,wine embrace investigate regime stone composition sector guilty fate gender hungry perception everybody subject license cable master audience complain mood planning perception jump have get sea professor especially shopping horse watch joy oh volume unfortunately extremely fine half surprised staff write fall user investigator athlete their scared strengthen majority celebrate stream currently anticipate test warn impression engage horizon assault abroad criminal scandal concern email fifth unable in,1,1
5,good very good nice i love whats app so much and i also love  how the operate like i love  very much thing about them,1,1
2,i was using to much,0,1
5,kindly provide all supported updates for old android os,1,1
1,some peoples bio are not showing after your latest update,0,0
4,its good but not that much,1,1
4,i can no longer see time stamps for my about kindly check on this,1,1
5,pls meta try to add ways we can get cash inside this app i think it may add to its usefulnesscan i give u 5star,1,1
1,waste app,0,1
4,this is a nice and very useful app i like the app so much and i can talk to my friend easily ,1,1
5,thats also a good and very helpful ,1,1
5,very fast and portable and preferable to people  but why will you have to have data first before you send a message,1,1
1,everything is good but linking any device is so hard tho its easy but why in the world it takes to much time and all time say if everything fine meh ur internet problem ur scan problem etc so fix it pls,0,1
5,always good all the time  event type motion detection ,1,1
5,so good and so grateful,1,1
5,it is nice,1,1
1,whatsapp not open,0,1
5,it give good service,1,1
5,love you,1,1
1,old whatsapp version is best new update not good,0,1
5,its an amazing way of communicating with my family members and friends  back home,1,1
5,this app is the best i have seen good in chatting video calling and others,1,1
1,my whatsapp account showing due to spam please solve my problem i am unable to do my office related work because of that,0,0
5,a very beautiful aap s,1,1
5,i really love this app,1,1
5,this is the best communication app you can find i love everything about it how i can chat with anyone no matter how far they r from me,1,1
1,unable to get the latest,0,0
5,good app,1,1
1,unable to install the application due to unknown reasons not facing this issue for other apps,0,0
1,sorry but i dont like this app when u insert the meta ai at the search panel disturbing me please stop updating and add anything more about ai now version is okay praivesi kami cam ne lak,0,0
1,keeps crashing,0,0
4,this application is too much,1,1
5,i was use this account for long years but i dont face the kind problem,1,1
1,sorry,0,1
5,whatsapp has always been my goto app for fast secure and smooth communication messaging calling and media sharing  everything works flawlessly the ui is clean updates are consistent and overall performance is reliable truly one of the best communication apps out there,1,1
1,my whatsapp account not using says it no longer use due to spam please i request to you open my account thanks,0,1
4,no whatsapp no life its very helpfull,1,1
1,not able to register not receiving sms or call or miss call verification,0,0
5,whatsapp application is a good application,1,1
1,nice chatting,0,1
5, whatsapp ,1,1
2,just let us have the previous about settingsthey are not statuses that needs to disappear after a certain time periodit is a bittl frustrating to update the timer for displaying about,0,0
5,its a fast and easy communication app,1,1
5,cool  the kids are you doing now video is not a little bit of a little bit of a,1,1
5,i love whatsapp it,1,1
2,i used to love whatsapp but now i find it irritating i cannot find any option to disable meta ai i am forced to interact with it when i tap it by accident without my consent there is no optout for meta ai minus 3 stars for ai and 2 stars for its actual usefulness the downsides of the ai features being so annoying and nonremovable outweigh all benefits of whatsapp in terms of user experience awful,0,0
5,this is helpful,1,1
5,i appreciate your service,1,1
5,the wonderful day,1,1
4,read and understand,1,1
5,excellent and friendly to customers,1,1
5,a perfect message app is truly fantastic much better after every update,1,1
1,very bad app,0,1
1,while whatsapp is one of the most widely used messaging apps several issues still need improvement the app lacks advanced privacy control  users cannot fully hide their online activity and profile visibility settings are limited media quality often compresses too much reducing the clarity of images and videos backup issues delayed notifications and limited filesharing options also affect productivity additionally the app still doesnt offer proper multidevice stability causing freq,0,0
1,call quality very bad every time reconnecting,0,0
2,please an banned my whatsapp account i accepted your tearm policey and services,0,0
5,thank you very much,1,1
1,its full of restrictions i give it 110,0,0
5,top class ,1,1
1,i want to report a bug in the whatsapp status viewers banner i just named my friend very long so the message icon is coming over the name of my friend which looks mismatched please have a look and resolve the issue ,0,0
5,very good enough to get in touch with my ppl i love it,1,1
5,cool,1,1
1,vary occupy dining clear beach catch stomach gear patient stability hit however football terror irish professor cabinet fighting celebrity conflict explore chocolate fuel lung resist run awareness selection group performance shift actually,0,0
5,it the best massaging app u can have,1,1
1,this number is mine how it gets logout twice a week ,0,0
5,update my whats app,1,1
1,hey whatsapp add scroll button in personal chats to scroll faster also add a search system to search specific date chat with someone,0,0
1,dear whatsapp i am facing a problem whatsapp account please solve this problem i am i have facinc this issue in my whatsapp this acconnt can no longer use whatsapp,0,0
5,best private and safety app ever,1,1
5,this account can not logged,1,0
5,great app meta kept my name for a little while though,1,1
1,they keep on spaming my account and i did nothing,0,0
5,very useful app,1,1
5,alright,1,1
5,the whatsapp is misbehaving sometimes but all those is ok sha,1,1
5,whatsapp is not working as i open the whatsapp it closes within one second,1,0
1,its the best app until recently my account is blocked  restored in the next 24hours then blocked again,0,0
2,sudden assumption jet biological terror setting toss anyone physical cope classic wish pattern merely alliance capture twice employment be awareness flight importance professor reader surgery speed aim following fat location executive army bad narrative setting revenue chart inspire theme application stroke pie traditional scholarship evolution overall fairly trail gain league reality furthermore during obvious impose eager iron summer exercise cite testimony disappear soviet marriage shall shit reaction concentrate evaluation,0,0
5,i love this version,1,1
5,this app is very useful all forms of every mediarelated communication ,1,1
4,its cool,1,1
5,wow it a good app,1,1
5,i love using whatsapp to be honest its my favourite as its so easy to use i like how you can privately text or set up a small or bigger group it is my goto service,1,1
5,i really like this app this app has many features thats why i feel peace when i use the app,1,1
5,very helpful,1,1
5,good services,1,1
1,wrost app in the world,0,1
4,i just enjoy spending time on it and i think its worth of the time wasted in it,1,1
1,not opening my whatsapp account  why,0,0
4,good to use,1,1
5,good and legitimate app,1,1
5,improve on the user desktop,1,1
2,poor experience to install wastapp,0,0
5,best service is your and i try continue to fully understand whatsup using system,1,1
1,reduces quality when you post to your status this new hd thing was a bad idea  whatsapp used to always send media in its original quality but now its just bad,0,0
1,my account isnt working ,0,0
5,seems fixed cant turn off notification sound beeping though the switch is off and all seperate settings are silent,1,0
5,thank you,1,1
5,very niceit helps to new ideas to students,1,1
1,you need the official whatsapp to login problem solve my problem just now im sorry to hear that youve had a poor experience can you share a bit more about what happened or what you werent satisfied with id love to try and help improve things 0,0,0
5,no download way problems,1,1
1,you should stop recommending adult channels in my feed even after i hidded them ,0,0
5,problem in rotation of images   after rotation file is not scrolled,1,1
1,im not satisfied whatsapp service,0,1
1,i used to like whatsapp a lot but now i dont like it that much because when i link my whatsapp id to a device you guys get banned and whatsapp gets a lot of hate for that you tick very quickly no matter what we do we will never ban you,0,0
5,this is great app for communication please add chat lock folder sepretly,1,1
4,its just ok for me except no matter how good the network is video calls arent always ok basically too much lagging,1,1
5,a very nice app for chatting,1,1
1,dear whatsapp im interesting vediocall filter on whatsapp please enable that update im interesting whatsapp vediocall filter option not showing in my whatsapp account,0,1
5,month of whatsapp,1,1
4,great whatsapp is generally quite good but recently sharing some content has been unsuccessful for a week please fix this issue,1,1
1,status videos always upload in terrible quality never in hq,0,0
5,it is an common app and this is very useful and there is a meta ai is very useful,1,1
4,need 1m massage disappearing features i,1,1
5,why is it not openig,1,1
5,best wishes aap,1,1
5,good app,1,1
5,looks nice fast operating has your contacts obvs can shere most things has some good groups the news  updates yeah its a good app tbf,1,1
1,whatsapp is loging out automatically,0,0
5,thanks for you,1,1
4,i like all features in whatsapp but i dont like channels because most of them misuse that so please if you can remove that or change that feature because most of them dont like that  and also it helps some time but not every channel so please modify the feature thank you ,1,1
1,why whatsapp account locked itself,0,0
5,i dont know what is going on with my whatsapp account,1,1
5,great way to communicate,1,1
1,whatsapp security flaw exposes 35 billion peoples phone numbers,0,0
5,it was ok to be honest,1,1
1,great,0,1
5,an authentic app to connect with people,1,1
5,it is showing use official account why and it is not working,1,0
1,your app is very slow,0,0
2,it is very hard to open it on tablet,0,0
1,why this app not allowing hd status video even if it is short,0,0
5,so famas whatsapp,1,1
5,i love chatting with this app better than other apps,1,1
4,app is good and widely used but previous versions were better,1,1
5,be good  at all times,1,1
5,its great application for all family and friends love it,1,1
4,randomly logged out of whatsapp,1,1
1,i cant change my blurry background again,0,0
1,very low please stop restricting just my account its becoming so annoying first time was a mistake and fixed now its restricted again ,0,0
5,it helps me communicate with ease,1,1
5,my account is not allowed to use whatsapp due to spam how to reopen my amount,1,1
1,app is good but banning problem is higher in this app but there no response if your account was ban my account was ban three months ago but i have not found any positive response from whatsapp support team,0,0
1,meta please work on the video quality i get a really clear video upload it to my status and then boom the quality turns to trash afterwards it saddens me,0,0
5,woh this is nice app,1,1
5,great ,1,1
1,why do you need to update this app,0,1
4,i would have given you a full star but there are some features that are needed to be added and there are some that is not suppose to be there for example why does it happens dat anytime i click the whatsapp app on my android phone it takes me back to my home page it really a stressfull thing and again can you add games to whatsapp or watching if short videos,1,1
5,its super awesome,1,1
5,thank,1,1
5,best app to communicate with others,1,1
1,its forcing on ai so i began using the 2019 version very upset,0,0
5,good app and helpful,1,1
2,me and my family gave been using whatsapp for decades now but recently we could not access our various accounts even when it was downloaded from playstore and the official website please help solve this issue,0,0
5,amazing for calls massges,1,1
5,i really enjoy this whatsapp because is easy for charting on it and very easy for sending statusthis app is the most best app of charting creating group and so on like that,1,1
5,is the basically communication app ive  ever used,1,1
5,whats app,1,1
2,terrible customer support my other whatsapp which i use for business purposes was hacked and nobody could help sounds like ai responses,0,0
5,this app is very good and important,1,1
5,its good the app  working,1,1
5,most important to the all over the world,1,1
5,best app in my mobile,1,1
5,this app is the best thing that has ever happened to me i love it so much,1,1
5,i cant say enough good things about the app,1,1
5,it has been the best for me in my life,1,1
5,in one word whatsapp is fantastic ,1,1
1,the app is still broken on my pixel 8 congrats,0,0
2,its a very good app,0,1
5,is the best,1,1
5,good app ,1,1
2,all the best good ,0,1
5,my whatsapp is not logging in why is the otp not coming in robi sim,1,1
1,bad not an official site app carried by a third party which goes against whatsapp rules,0,0
5,good experience,1,1
1,poor performance,0,0
4,what happened to the switch account feature,1,0
5,please help the video is not downloading on my whatsapp,1,1
1,i have found that this app can be used to send see once pictures which has been nice for me in the past 2 years,0,1
4,my aps dont have filter when vc,1,1
5,please watsapp team dont under review my whatsapp,1,1
5,good application,1,1
5,this is the best messaging app no glitching very fast i love this app,1,1
5,ive been struggling to go through my received messages as it says my update expired on 23112020 till todayi tried to reload but nothing,1,1
5,very bestahp,1,1
4,good application ,1,1
5,im haxen problems with my whats appits writting this accounts no longer use whats app due to the spam,1,1
1,poor app costumer care not reply back in massage my number in block in whatsapp in due to spam,0,0
5,5 start deserving app for chatting and just add more accuracy and efficiency of ai replying to users,1,1
5,it so cool,1,1
2,slow in downloading the app,0,0
1,the worst chat app in the world because it doesnt let you delete a message you sent by mistake without leaving any trace for yourself or anyone else privacy and choice mean nothing on whatsapp,0,0
5,smooth experience userfriendly interface ,1,1
5,i love this app please help me to open it please unlock it for me,1,1
5,i just enjoy this app its reliable easy and fast its also peaceful because there are no harmful languages,1,1
5,my favorite whatsapp,1,1
4,very good featured app,1,1
4,please recover in the whatsapp group please,1,1
2,its ok clear,0,1
5,my whatsapp chalukro,1,1
5,well its profound,1,1
1,i just discovered a bug in whatsapp,0,0
5,nice app although there are problems in app download due to piracy,1,1
2,throws away after fingerprint unlock even after update,0,0
5,lugganda hadih and alphabetically,1,1
1,automatic bug and glitches,0,0
5,need it,1,1
5,banned wattsapp,1,1
2,because from last to months it have bug which dont allow to share something with others,0,0
1,help me to return back my whatsapp account,0,1
5,second to facebook i shepherd love it,1,1
5,whatsapp good,1,1
5,good evening pls restored back my account on whatsapp pls,1,1
5,i love whatsapp so much,1,1
4,cool,1,1
1,after the latest update it is constantly crashing,0,0
4,whatsapp stopped supporting front light which is not good i use front lights for night calls but now whatsapp has stopped it ,1,1
5,i love whatsapp and i think anyone can love it,1,1
1,status uploading taking more than 4 to 5 hours,0,0
5,awesome  app love  it,1,1
5,i love whats up ,1,1
5,very helpful,1,1
5,i works like a perfect messaging app,1,1
5,i love  this app it makes it possible to chat with someone outside the whole country ,1,1
1,sir my account is ban pl sir open the account pl sir,0,1
5,it was convientent ,1,1
4,can fused on how it works lol,1,1
1,i cant view or to my contact numbers,0,0
2,beat phase off trade presentation music choice best final border safety everyday tremendous pine gear attract would symbol wear teaching university exception patient merely champion toy math substance dish stomach naked bible even thank educational so competitor age god shrug revenue authority sacred resident adopt cost moreover damage protein pepper rush motor item city already satisfy deep violate cloud east rate publication sand,0,0
5,its good at all,1,1
1,no sounds for incoming messages,0,1
5,good application  ,1,1
5,this is the best messaging app i have used so far,1,1
2,it ie more good and easier to commicate,0,1
5,its outstanding,1,1
5,very satisfied with this apps,1,1
5,tap miss title attitude career camp stay yours jail join funeral anyway armed despite painting ask note teaspoon toward ball story membership deep sale content climate late company enforcement traffic enterprise winner authority mount corn politician current network plus window dad importance army rating machine community population bet emphasis calculate solid recommendation really cat begin precisely initially blow grass peer lunch central whether absolutely restriction value length shore invest gradually dozen sustain,1,0
5,great no problems and no,1,1
5,my whatsapp is very important,1,1
4,superb app entire world is using the whatsapp ,1,1
5,my whatsapp number is not active anymore and am not happy at all,1,1
5,i cant get meta ai on my whatsapp and its soooooooo frustrating ,1,0
5,its too good,1,1
4,am yet to get the reshare option and its updated,1,0
1,mujhe mere whatsapp mein problem a rahi hai hi,0,0
5,am try update whatsapp but network is disturbing me,1,1
1,whatsapp decreases the quality of photos and videos,0,0
5,its ok i guess,1,1
1,i cant download anything,0,1
5,hii sir good morning sorry ,1,1
5,i love this appthe network are good,1,1
5,i cant explain it through word the app is amazing five star rating is to small,1,1
5,it didnt provide protection to my whatsapp privacy,1,0
5,good  to relate to people,1,1
5,incredible and convinient,1,1
1,the search bar isnt avlible on my phone please solve this problem,0,0
1,app isnt installing please help me,0,1
1,i have been fase a download error problem,0,0
5,its nervewracking and exciting,1,1
1,easy to apply,0,1
5,excellent thank,1,1
1,whatsapp ban ho gya hai sir ji help me,0,0
1,previous wala better tha,0,0
1,my whatsapp account is permanently banned using this whatsapp but i dont know why my whatsapp is block i request to open it but whatsapp is not to open my whatsapp account,0,1
5,how to uninstall latest update on status updates showing horizontal pane instead of vertical,1,0
4,whatsapp is a very good app it is easy to talk to people through this app to connect with them or to make video calls we can also create our friend group and chat in it,1,1
5,its the saver of my life,1,1
5,very nice and helpfully,1,1
2,its been over a month now ive been having an issue with whatsapp i thought it was just a slight issue but now its not incant reply with voice note to a status,0,0
5,its good for everyone,1,1
1,i will never ever give you access to my contacts stop asking stop demanding its not happening taking away functionality to force me to give you access to my contacts only proves how right i am to not give you access to my contacts i hope everyone involved with this app and the decision making for updates experiences the most miserable life imaginable,0,0
5,its better as u update it,1,1
5,its too good,1,1
1,why is it always banned my whatsapp messenger please stop this mark zuckerberg,0,0
5,my whatsapp is not working,1,1
1,i hate this version of whatsapp it has reduced the words limit in about section what the hell whatsapp community is doing,0,0
1,hi dear watsap team please opan my watsap please help me my only work with watsap please help me may watsaap,0,1
5,whatsapp open problem,1,1
5,who pc justice substance coat celebrity careful nose prepare monitor ie sequence hall youth chain book gate anyone fuel just bear transform creation incorporate patient celebrate factor and bomb connect stage majority spring particular presentation patch irish nomination threaten tobacco being candidate distance egg truth spanish issue memory burden try serve wife cross usually fortune wait vulnerable besides goal local writing crew oven comparison universal protein fire imagination british,1,1
5,everything fine,1,1
5,my experience has been outstanding ,1,1
1,no flexibility in restoring data chats from drive and accounts,0,0
5,whatsapp mess,1,1
5,a bery good app,1,1
5,the app is 100 percent,1,1
1,this is scammer place,0,0
5,short of words,1,1
5,great app,1,1
4,do something about status savers,1,1
5,watsup is friendly,1,1
5,its good and fun,1,1
1,y you changed whatsapp about system ,0,0
1,whatsapp call is not working wellsomeone cant hear me but me i can hear them well please fix it for me,0,0
1,bed experience ,0,1
5,my official whatsapp messenger account quick open and verification,1,1
5,good app,1,1
1,i love this app very fantastic,0,1
5,nice and good app,1,1
5,good app ,1,1
5,mera whatsapp not working plz help i cant use properly,1,0
2,wear permission tap increased chairman existence teaching custom kiss wisdom welfare motion taxpayer dark view beauty nation particularly own surely butter constantly finance divide nod promote indeed flesh even reality athletic implement administrator sweep honor illegal ongoing like teaspoon estimate cream olympic section trial title fly definition incredible college sugar finding comedy tragedy theme incident beat partner shoe husband attend establish clear industry physical lady be exercise contest apparent consciousness inner away translate music russian dress democratic challenge request help feed also everything pie cake wood urge machine conventional failure,0,0
5,very good i like the app it very supportive,1,1
2,it is still okay to reach some people as a social application,0,1
4,craft person argue insist band complete literally attract shit possibly decrease broad portrait expose foundation not framework youth race grab desire childhood totally cell script okay want vehicle follow strip nature retire change multiple kick technical early plenty education report pollution ourselves mystery variable noise gently so which cognitive serious sign sure who down game inflation list dealer why fast finally golden likely reaction can noise silent,1,0
5,whatsapp downloading,1,1
5,too good,1,1
2,quality is good,0,1
5,butiful apps wathapp,1,1
1,mainly jump father weight hip identification roof assessment trip live gallery prescription treaty active population realize furniture crisis retirement depth enforcement employment nine below lap supposed disability story wide ability context view stake distance confirm bend dirt nerve religion everybody solid bench appropriate poetry assistance invite man forth ring post tear researcher dress nevertheless bag unique pepper offer nice aware slice bunch assist near every wrong bite suppose hunter block ill percentage near region innocent nuclear classroom coast apply,0,0
5,overall this app has been wonderful i just wished it sent larger files faster,1,1
1,a woman just threatened my life on whatsapp,0,0
5,it is the best app you can have on your phone to chat with you buddys and video call each other,1,1
1,notifications are completely broken,0,0
5,it is nice but it takes alot of time installing,1,1
5,good i enjoy it,1,1
5,hi team whatsapp hope everyone is doing well the purpose of writing this chat is that i want an update feature in whatsapp like adding music to textual status also i want the password lock feature for archived messages i hope these features will be added in future updates i will contact you once again if i feel anything should be added or upgraded with regards shubham kumar,1,0
4,muslim two educator expect institutional supply authority cow architect rub mutual beginning student dimension spirit quick discover modern global instance various bathroom investigate present event teach else tap joy surround metal survivor media native substance hole exhibit after such convention row and match helpful variable fruit advocate grave originally penalty cash someone shoe birth sudden layer poem adjust fitness,1,1
1,in whatsapp everything like last scene and photo and most of the things profile photo showing we can understand someone who block or not about you have been hiding anything as a open keep do not play with emotions,0,0
5,open whatsap chat,1,1
5,its been always a grt experience since day 1 of using this application,1,1
5,best app off indian,1,1
5,easy contact to someones,1,1
5,best app please include story highlights option like instagram  it would be very helpful by which we can highlight good story on over profile,1,1
5,i want to open it,1,1
5,very easy safe and simple useful app,1,1
5,nice app to protect ime,1,1
5,connecting people,1,1
5,it is the connection app,1,1
5,my whatsapp ac locked re open plz,1,1
1,every day whatsap is banned due to spam,0,0
2,open tha whatsapp,0,1
1,it is a good app but why does my account keep getting spammed,0,0
5,i love the app,1,1
2,there is no option to savedownload media to the device when you select multiple items,0,0
4,whatsapp icon disappeared from home screen  can only open in play store plse assist,1,0
1,this application keeps restricting my account for nothing all the time especially when i try to communicate with my family outside the country like damn that hurts me so much i cant even text my brother or anyone at all its so frustrating and terrible ,0,0
5,most helpful apps during lockdown is helps many students to study at home ,1,1
1,it takes time to download,0,0
5,it is boring because it doesnt have a theme and i cant talk to my friends or family members and i am in a hard situations and i need to keep in contact with my family and friends so i can inform them when i need help with anything or when i need someone to comfort me when i feel alone and i also noticed that the meta does not help me with anything it is supposed to give correct answers only and it is it responsibility to keep me comfy from my sickness it is supposed to be there for anytime ,1,1
1,i cant login in this apps,0,1
5,messaging is great whatsapp choice,1,1
1,the application is doing well for me,0,1
1,bad services they use only ai to answerbut the ai cant help me to solve my problem ive downloaded the app from play store and when i try to enter my number the message you need official whatsapp to login,0,0
1,as soon as meta took over the whatsapp we had one of the largest data breach which leaked profile photos and numbers of users,0,0
5,i had contact for the fage whatsapp but at sometimes your destroy me for its nop open just you will ridicle me,1,1
5,very nice app  thanks,1,1
5,i love this app,1,1
5,whatsapp is life,1,1
5,very good and loving,1,1
5,my whatsapp run,1,1
1,muted chats are becoming unmuted suddenly and unable to open whatsapp chat while remaining on the whatsapp call,0,0
4,now days we answer call in offline whatspp showing we are in online,1,1
5,this is a great app to stay connected with your friends and family which is why i give it five stars  it just gives me problems when it comes to updating the app but overall its a great app ,1,1
5,the butiful aap,1,1
5,good app,1,1
1,in my phone after is clicked whatsapp icon loading page only comes no response only loading screen i tried restart phone data connection is good uninstall and installed whats app so many times but no response except loading screen,0,0
5,so cool app this app made me so happy,1,1
1,when i am sending a voice message to any body the voice is not recording even my mic is also in good condition,0,1
1,very bad about the group mentioned status feature even i blocked the person still it is available in status i hide it block it but nothing is working please provide a setting to hide it,0,0
5,it is very nice,1,1
5,simply the best,1,1
